# BEAST v10.5.0-beta5 Prerelease #1d511b10c2
# Generated Tue Jul 01 10:53:28 EDT 2025 [seed=1751381601038]
# -save_every 100000 -save_state r1 -prefix r1_ -beagle_GPU -beagle_SSE -beagle_cuda ha_sc_gtrfg4i.xml
state	joint	prior	likelihood	rootHeight	treeLength	tmrca(gr21)	tmrca(gr22)	tmrca(prespa22)	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	pInv	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
54520000	-60536.77259276103	-13860.575098432546	-46676.19749432849	4.262105961773001	375.32964040332416	1.6074851066301012	0.5195714383366419	0.5195714383366419	8.80091225809699	0.387836255627968	2.118436675464563	0.2254326490583518	0.045057942180669885	2.9166872381966003	0.30654923947183954	0.5940494856241407	0.9458173034205322	0.009099366901488876	0.009099366901488888	-46676.19749432849	0.0	-13846.34756400013
54560000	-60559.59407270914	-13866.412630256764	-46693.18144245237	4.053532781602824	374.1121217476852	1.5974191504669397	0.5196073776679896	0.5196073776679896	8.881473882327242	0.387836255627968	2.2013657967523548	0.2254326490583518	0.045057942180669885	2.8337581169088084	0.30654923947183954	0.6576413533805244	0.9927743597531354	0.009436929750100086	0.00943692975010005	-46693.18144245237	0.0	-13851.913683302253
54600000	-60463.18763668633	-13820.363563220313	-46642.824073466014	3.989720382295134	371.02115714580094	1.6326895493950164	0.5196142246088417	0.5196142246088417	8.650348586145055	0.387836255627968	2.2292290928748146	0.2254326490583518	0.045057942180669885	2.854544598766002	0.2578994614921861	0.6644398587058565	0.9832749298503881	0.009271589113055999	0.009271589113056021	-46642.824073466014	0.0	-13805.97279572657
54640000	-60480.25768114603	-13746.569080729745	-46733.68860041629	4.139290711398401	367.7984073563632	1.6468498850041615	0.5085469596518549	0.5085469596518549	8.690777685929714	0.387836255627968	2.2292290928748146	0.21599984561698402	0.05937971760917493	2.819170036553024	0.2883850517180267	0.6467765237051705	0.996910862135631	0.009154207085889548	0.009154207085889461	-46733.68860041629	0.0	-13732.284002825732
54680000	-60524.372436431666	-13812.162969036393	-46712.209467395274	4.3478185046064874	371.4676681216219	1.593218072668591	0.5102457889191871	0.46504848247392055	8.859089098273385	0.387836255627968	2.2292290928748146	0.21599984561698402	0.05937971760917493	2.819170036553024	0.2883850517180267	0.6228951140372064	0.9755313222740468	0.009447473318070332	0.009447473318070382	-46712.209467395274	0.0	-13797.752991744188
54720000	-60528.36639963395	-13809.14492923663	-46719.22147039732	4.304883820714282	371.90849085704815	1.638960103698669	0.5103079974180779	0.5103079974180779	8.882858308262485	0.387836255627968	2.2131314327080505	0.21599984561698402	0.05937971760917493	2.835267696719788	0.2883850517180267	0.5869726100369036	0.9299367500160587	0.009187408273823333	0.009187408273823378	-46719.22147039732	0.0	-13794.911201888368
54760000	-60540.970843817086	-13803.247551881977	-46737.72329193511	3.959115286033643	369.71654787438695	1.6464837700099832	0.5011724326886842	0.5011724326886842	8.753334962187232	0.387836255627968	2.2131314327080505	0.21083125045573733	0.05937971760917493	2.840436291881035	0.2883850517180267	0.6405441154799792	0.9886387159891872	0.009095153533781928	0.009095153533781966	-46737.72329193511	0.0	-13788.977821847777
54800000	-60550.17023793454	-13885.175117168012	-46664.99512076653	4.0105685378280995	373.24353183581485	1.651364283668215	0.5011817175494139	0.5011817175494139	8.98111025027085	0.387836255627968	2.2131314327080505	0.21083125045573733	0.05937971760917493	2.840436291881035	0.2883850517180267	0.6353457519967926	0.9828028590335937	0.009204003368676343	0.009204003368676312	-46664.99512076653	0.0	-13870.815985890766
54840000	-60622.74160724284	-13913.054239501222	-46709.687367741615	4.079440584615573	375.42096943840147	1.6798410866646247	0.5011727393990851	0.46322065856990247	9.14159955571051	0.3766122110638363	2.2131314327080505	0.2084036891824218	0.061807278882490456	2.840436291881035	0.29960909628215837	0.6174128032836036	0.9828028590335937	0.009026931102964899	0.009026931102964852	-46709.687367741615	0.0	-13898.772176456281
54880000	-60483.173270970285	-13909.059654947698	-46574.11361602259	4.270412696050501	377.02257924884344	1.593826942505643	0.4930506814036172	0.4930506814036172	9.061006696760298	0.3868843354708567	2.2131314327080505	0.19813156477540142	0.061807278882490456	2.840436291881035	0.29960909628215837	0.6616259169677156	0.9877336845420062	0.009529040613581901	0.009529040613581927	-46574.11361602259	0.0	-13894.469391070637
